id,age,salary,department,experience,join_date,location,performance_score
1,25,50000,HR,2,2022-01-10,Delhi,0.8
2,NaN,not_set,Engineering,three,2021/05/01,Mumbai,good
3,29,,Sales,five,,Bangalore,0.6
4,150,120000,Engineering,10,2020-02-30,Chennai,0.9
5,999,-50000,Unknown,,2023-13-01,Delhi,
6,,,,,,,
7,35,80000,HR,7,2022-06-15,Delhi,0.85
8,twenty,60000,Sales,2,11-11-2021,Kolkata,0.7
9,28,abc,Engineering,four,2022-08-08,Mumbai,excellent
10,,45000,,, ,Pune,0.5
11,45,2000000,Management,20,2019-03-15,Delhi,0.95
12,-5,30000,HR,1,2022-02-28,Delhi,0.4
13,60,NaN,Finance,thirty,invalid_date,Hyderabad,0.3
14,33,70000,,5,2021-07-07,Bangalore,0.75
15,,85000,Engineering,,2022-09-09,Mumbai,0.65
16,27,0,Sales,2,2020-10-10,Chennai,0.55
17,1000,99999999,Unknown,50,2025-01-01,Delhi,1.0
18,abc,45000,HR,three,2022-03-03,Delhi,0.6
19,40,-1000,Finance,10,wrong_date,Kolkata,0.45
20,,60000,Engineering,,2021-12-12,Mumbai,0.5
21,25,50000,HR,2,2022-01-10,Delhi,0.8
22,25,50000,HR,2,2022-01-10,Delhi,0.8
23,,null,Sales,,2020-05-05,Bangalore,average
24,70,120000,Management,25,2018-11-11,Delhi,0.88
25,18,30000,Intern,one,2023-06-01,Remote,0.6
26,32,72000,Engineering,6,2021-04-01,Mumbai,NaN
27,45,88000,Finance,15,2020-09-09,Delhi,0.77
28,,54000,HR,,2019-01-01,Chennai,0.66
29,38,NaN,Sales,8,2022-02-02,Kolkata,0.72
30,41,67000,Engineering,12,2021-08-08,Bangalore,0.5
31,29,54000,HR,4,2022-01-10,Delhi,0.6
32,31,58000,Sales,3,2021-05-11,Mumbai,good
33,120,999999,Engineering,40,2026-01-01,Delhi,0.9
34,0,0,Unknown,0,0000-00-00,,error
35,44,76000,Finance,11,2020-09-09,Kolkata,0.77
36,55,92000,HR,18,2020-02-20,Delhi,0.88
37,19,25000,Intern,1,2023-06-01,Remote,0.55
38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,33,70000,Engineering,5,2021-07-07,Bangalore,0.75
40,60,120000,Management,22,2018-11-11,Delhi,0.9
40,60,120000,Management,22,2018-11-11,Delhi,0.9
